,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,0.2477876106194691,0.39726027397260266,0.0,0.0684931506849315,0.10684474123539232,0.14084507042253522,0.0989399293286219,0.567547723935391,0.6062992125984251,0.13772455089820365,0.15384615384615394,0.0
1,0.2831858407079646,0.5205479452054794,0.0,0.11643835616438356,0.14357262103505844,0.33802816901408456,0.21554770318021202,0.4941262848751933,0.3622047244094486,0.2095808383233533,0.2153846153846155,0.0
2,0.2831858407079646,0.4383561643835616,0.04,0.0958904109589041,0.1335559265442404,0.19718309859154928,0.16961130742049468,0.5088105726872243,0.4094488188976375,0.1916167664670659,0.2153846153846155,0.0
3,0.5840707964601769,0.10958904109589043,0.56,0.0684931506849315,0.10517529215358933,0.22535211267605634,0.19081272084805656,0.5822320117474362,0.3307086614173227,0.1497005988023952,0.2153846153846155,0.0
4,0.2477876106194691,0.39726027397260266,0.0,0.0684931506849315,0.10684474123539232,0.14084507042253522,0.0989399293286219,0.567547723935391,0.6062992125984251,0.13772455089820365,0.15384615384615394,0.0
5,0.2477876106194691,0.3698630136986301,0.0,0.06164383561643835,0.10517529215358933,0.16901408450704225,0.12014134275618375,0.567547723935391,0.6062992125984251,0.13772455089820365,0.15384615384615394,0.0
6,0.2920353982300885,0.3287671232876712,0.06,0.04794520547945205,0.0951585976627713,0.19718309859154928,0.1872791519434629,0.4647577092511028,0.44094488188976333,0.07784431137724554,0.15384615384615394,0.0
7,0.2389380530973452,0.363013698630137,0.0,0.02054794520547945,0.08848080133555926,0.19718309859154928,0.0530035335689046,0.3325991189427384,0.5118110236220472,0.08383233532934127,0.24615384615384614,1.0
8,0.2831858407079646,0.3150684931506849,0.02,0.07534246575342465,0.10183639398998327,0.11267605633802814,0.04240282685512367,0.4941262848751933,0.4881889763779523,0.1437125748502994,0.1692307692307693,1.0
9,0.256637168141593,0.2602739726027397,0.36,0.3561643835616438,0.09849749582637728,0.22535211267605634,0.3392226148409894,0.567547723935391,0.4803149606299213,0.281437125748503,0.32307692307692304,0.0
10,0.18584070796460184,0.3150684931506849,0.08,0.06164383561643835,0.1419031719532554,0.19718309859154928,0.20848056537102472,0.4280469897209969,0.4251968503937005,0.125748502994012,0.12307692307692307,0.0
11,0.256637168141593,0.2602739726027397,0.36,0.3561643835616438,0.09849749582637728,0.22535211267605634,0.3392226148409894,0.567547723935391,0.4803149606299213,0.281437125748503,0.32307692307692304,0.0
